Year	Block 	Well	Pollen source nest	Pollen source cell	Pollen source species	Pollen type	Bee source	Bee source cell	Est date laid	Mean date laid	Est DOY laid	Bee species	Bee subgenus	Origin pollen	Transfer type	Transferred as	Transfer date	Est eclosion date	Day of event yr 1	Event	Days to event	Survival
2019	6	3	"KC-E3, 2018"	6	Osmia montana	Asteraceae	SG-C13	3	28-Jun	28-Jun	179	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	8-Jul	28-Jul	dead	30	1
2019	3	1	BC-H4	7	Osmia coloradensis	Asteraceae	SG-C13	5	30-Jun	30-Jun	181	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	17-Jul	10-Jul	30-Jul	dead	30	1
2019	4	7	SG-C13	2	Osmia coloradensis	Taraxacum	SG-C13b	2	5-6 Jul	5-Jul	186	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	22-Jul	15-Jul	3-Aug	dead	29	1
2019	4	13b	"KC-B8, 2018"	4	Osmia coloradensis	Asteraceae	SG-C13b	4	7-8 Jul	7-Jul	188	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	23-Jul	17-Jul	1-Aug	dead	25	1
2019	3	11b	GT-C14	5	Cephalosmia	Asteraceae	SG-C13b	5	8-9 Jul	8-Jul	189	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	25-Jul	18-Jul	1-Aug	dead	24	1
2019	8	15	SG-E1	1	Osmia coloradensis	Taraxacum	SG-C15	1	26-28 Jun	27-Jun	178	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	7-Jul	30-Jul	dead	33	1
2019	4	5	GT-C14	6	Cephalosmia	Asteraceae	SG-C15	2	27-29 Jun	27-Jun	178	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	12-Jul	7-Jul	26-Jul	dead	29	1
2019	1	13	BC-H4	3	Osmia coloradensis	Asteraceae	SG-C15	3	29-30 Jun	29-Jun	180	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	16-Jul	9-Jul	26-Jul	dead	27	1
2019	1	11	SG-B7	1	Osmia coloradensis	Taraxacum	SG-C16	4	27-Jun	27-Jun	178	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	7-Jul	26-Jul	dead	29	1
2019	1	7	"KP-J9, 2018"	5	Osmia subaustralis	Asteraceae	SG-C16	5	28-Jun	28-Jun	179	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	8-Jul	12-Jul	dead	14	1
2019	5	12	"KC-E1, 2018"	5	Osmia montana	Asteraceae	SG-D7	2	27-Jun	27-Jun	178	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	7-Jul	3-Aug	dead	37	1
2019	7	11	BC-H4	6	Osmia coloradensis	Asteraceae	SG-D7	5	30-Jun	30-Jun	181	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	17-Jul	10-Jul	5-Aug	dead	36	1
2019	2	9	SG-C16	2	Osmia coloradensis	Taraxacum	SG-E12	1	23-25 Jun	24-Jun	175	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	9-Jul	4-Jul	30-Jul	dead	36	1
